family,intensity,mean_norm_score,std,monotone_frac
rotation,0.000,1.0000,0.0000,0.62
rotation,0.125,1.0474,0.0171,0.62
rotation,0.250,0.8709,0.0159,0.62
rotation,0.375,0.7680,0.0264,0.62
rotation,0.500,0.6763,0.0446,0.62
rotation,0.625,0.6879,0.0180,0.62
rotation,0.750,0.7539,0.0162,0.62
rotation,0.875,0.6885,0.0276,0.62
rotation,1.000,0.6585,0.0392,0.62
shear,0.000,1.0000,0.0000,0.75
shear,0.125,1.1011,0.0078,0.75
shear,0.250,1.0422,0.0086,0.75
shear,0.375,0.9893,0.0162,0.75
shear,0.500,0.8955,0.0293,0.75
shear,0.625,0.8163,0.0281,0.75
shear,0.750,0.9351,0.0161,0.75
shear,0.875,0.9245,0.0124,0.75
shear,1.000,0.8990,0.0154,0.75
warp,0.000,1.0000,0.0000,0.75
warp,0.125,1.0379,0.0098,0.75
warp,0.250,1.0332,0.0110,0.75
warp,0.375,1.0006,0.0083,0.75
warp,0.500,0.9781,0.0082,0.75
warp,0.625,0.9485,0.0124,0.75
warp,0.750,0.9110,0.0126,0.75
warp,0.875,0.8826,0.0133,0.75
warp,1.000,0.9108,0.0028,0.75
noise,0.000,1.0000,0.0000,1.00
noise,0.125,0.9745,0.0053,1.00
noise,0.250,0.9227,0.0110,1.00
noise,0.375,0.8760,0.0127,1.00
noise,0.500,0.8358,0.0162,1.00
noise,0.625,0.7981,0.0143,1.00
noise,0.750,0.7672,0.0154,1.00
noise,0.875,0.7421,0.0153,1.00
noise,1.000,0.7209,0.0154,1.00
erase,0.000,1.0000,0.0000,1.00
erase,0.125,0.9901,0.0100,1.00
erase,0.250,0.9879,0.0080,1.00
erase,0.375,0.9822,0.0077,1.00
erase,0.500,0.9722,0.0110,1.00
erase,0.625,0.9589,0.0118,1.00
erase,0.750,0.9536,0.0138,1.00
erase,0.875,0.9461,0.0115,1.00
erase,1.000,0.9434,0.0131,1.00
